date,ticker,price
2024-01-01,AAPL,151.69052570380035
2024-01-02,AAPL,151.22458833325953
2024-01-03,AAPL,151.2574084969381
2024-01-04,AAPL,151.6649247799346
2024-01-05,AAPL,150.87600175130888
2024-01-06,AAPL,150.8780673242148
2024-01-07,AAPL,150.87717693835688
2024-01-08,AAPL,149.12245263201146
2024-01-09,AAPL,150.14011063767498
2024-01-10,AAPL,150.7406091535945
2024-01-11,AAPL,150.11518017962774
2024-01-12,AAPL,149.94363191843203
2024-01-13,AAPL,150.4489312926288
2024-01-14,AAPL,150.18757487743713
2024-01-15,AAPL,149.94482579876458
2024-01-16,AAPL,148.49158438627381
2024-01-17,AAPL,149.04616469816568
2024-01-18,AAPL,149.17004560345273
2024-01-19,AAPL,149.4445055272127
2024-01-20,AAPL,147.91798099534284
